province,city,Tier
陕西省    ,宝鸡市,T5
陕西省    ,延安市,T5
陕西省    ,安康市,T5
陕西省    ,商洛市,T5
上海市    ,上海市,T1
四川省    ,成都市,T2
四川省    ,绵阳市,T4
四川省    ,泸州市,T5
四川省    ,雅安市,T5
四川省    ,眉山市,T5
四川省    ,德阳市,T5
四川省    ,自贡市,T5
四川省    ,攀枝花市,T5
四川省    ,乐山市,T5
四川省    ,宜宾市,T5
四川省    ,广元市,T5
四川省    ,南充市,T5
四川省    ,凉山自治州,T5
四川省    ,内江市,T5
四川省    ,巴中市,T5
四川省    ,资阳市,T5
四川省    ,广安市,T5
四川省    ,达州市,T5
四川省    ,甘孜自治州,T5
四川省    ,遂宁市,T5
四川省    ,阿坝自治州,T5
天津市    ,天津市,T2
云南省    ,昆明市,T3
云南省    ,曲靖市,T5
云南省    ,西双版纳自治州,T5
云南省    ,玉溪市,T5
云南省    ,丽江市,T5
云南省    ,保山市,T5
云南省    ,普洱市,T5
云南省    ,大理自治州,T5
云南省    ,文山自治州,T5
云南省    ,红河自治州,T5
云南省    ,楚雄自治州,T5
云南省    ,昭通市,T5
云南省    ,德宏自治州,T5
浙江省    ,宁波市,T2
浙江省    ,杭州市,T2
浙江省    ,金华市,T3
浙江省    ,温州市,T3
浙江省    ,嘉兴市,T3
浙江省    ,绍兴市,T3
浙江省    ,台州市,T4
浙江省    ,湖州市,T4
浙江省    ,丽水市,T5
浙江省    ,衢州市,T5
浙江省    ,舟山市,T5
重庆市    ,重庆市,T2
,,
